,Dialogue,score,sentiment
1371,"Your mother's right.
",0.2857142857142857,0.5357142857142857
1372,"Take her. You can wear my tux.
",0.0,0.0
1373,"She won't wanna go with me.
",0.0,0.0
1374,"Of course she would!
",0.0,0.0
1375,"You're a college man!
",0.0,0.0
1376,"- I don't know.
",0.0,0.0
1377,"- Well, come on.
",0.0,0.0
1378,"Don't you wanna find out?
",0.0,0.0
1379,"I can't believe
",0.0,0.0
1380,"I can't go to the prom!
",0.0,0.0
1381,"This is so harsh!
",-0.25,0.7
1382,"- Hold my board.
",0.0,0.0
1383,"- Thataboy! Thataboy!
",0.0,0.0
1384,"I think we've seen enough.
",0.0,0.5
1385,"Let's turn it off.
",0.0,0.0
1386,"Well, I'm not gonna watch.
",0.0,0.0
1387,"Come on, kid. Let's go!
",0.0,0.0
1388,"- My! Are you handsome!
",0.625,1.0
1389,"- Let's show them!
",0.0,0.0
1390,"Just a sec, Dad.
",-0.1,0.6
1391,"Okay, be cool. Just be cool.
",0.39999999999999997,0.6
1392,"Okay, Dad.
",0.5,0.5
1393,"Rachel, ready or not,
",0.2,0.5
1394,"here comes your knight in shining...
",0.0,0.0
1395,"Oh, no.
",0.0,0.0
1396,"Don't wait up!
",0.0,0.0
1397,"Chip!
",0.0,0.0
1398,"Oh, dear!
",0.0,0.0
1399,"How do I turn this off?
",0.0,0.0
1400,"Press the button.
",0.0,0.0
1401,"Which one? Which button? Jack!
",0.0,0.0
1402,"The button! The button!
",0.0,0.0
1403,"I can't believe you did that.
",0.0,0.0
1404,"Yeah, well...
",0.0,0.0
1405,"See? He's her lobster!
",0.0,0.0
1406,"Dance with him!
",0.0,0.0
1407,"Mom, I'm hungry!
",0.0,0.0
1408,"Dance with your father.
",0.0,0.0
1409,"I don't know any of your flashdances,
",0.0,0.0
1410,"but I'm no slouch on the dance floor.
",0.0,0.0
1411,"All right.
",0.2857142857142857,0.5357142857142857
1412,"- Oh, Jack!
",0.0,0.0
1413,"- Oh, Judy!
",0.0,0.0
1414,"Best watched using Open Subtitles MKV Player
",0.5,0.4
1415,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
",0.0,0.0
1416,"Okay, this is it.
",0.5,0.5
1417,"You sure you wanna do this?
",0.5,0.8888888888888888
1418,"Hello, Mrs. Ross.
",0.0,0.0
1419,"Well, hello, Mr. Rachel.
",0.0,0.0
1420,"-Whoa!
",0.0,0.0
1421,"-Oh, my God!
",0.0,0.0
1422,"Come on, Pheebs, hurry!
",0.0,0.0
1423,"Okay! Okay!
",0.625,0.5
1424,"Oh, my God!
",0.0,0.0
1425,"ls everybody getting married?
",0.25,0.25
1426,"No running in the chapel.
",0.0,0.0
1427,"Hey, don't you give me
",0.0,0.0
1428,"any of your-- Hey!
",0.0,0.0
1429,"Why are you here?
",0.0,0.0
1430,"Ross and Rachel left a message.
",0.0,0.0
1431,"They're getting married.
",0.25,0.25
1432,"-Isn't that why you guys are here?
",0.0,0.0
1433,"-Yes. Why else would we be here?
",0.0,0.0
1434,"What happened?
",0.0,0.0
1435,"Did we miss it?
",0.0,0.0
1436,"We missed it.
",0.0,0.0
1437,"Maybe you wouldn't have
",0.0,0.0
1438,"if you could run in the chapel!
",0.0,0.0
1439,"This is insane.
",-1.0,1.0
1440,"What's the big deal?
",0.0,0.1
1441,"It's not like it's a real marriage.
",0.2,0.30000000000000004
1442,"What?
",0.0,0.0
1443,"If you marry in Vegas,
",0.0,0.0
1444,"you're only married in Vegas.
",0.125,0.625
1445,"If you marry here,
",0.0,0.0
1446,"you're married everywhere.
",0.25,0.25
1447,"Really?
",0.2,0.2
1448,"Yeah.
",0.0,0.0
1449,"Oh, my God!
",0.0,0.0
1450,"Oh, well.
",0.0,0.0
1451,"The One After Vegas
",0.0,0.0
1452,"English Subtitles by
",0.0,0.0
1453,"Gelula/SDI
",0.0,0.0
1454,"Why are we in bed together?
",0.0,0.0
1455,"I don't know.
",0.0,0.0
1456,"Do you have any clothes on?
",0.0,0.0
1457,"Yes.
",0.0,0.0
1458,"-Really?
",0.2,0.2
1459,"-No.
",0.0,0.0
1460,"But we didn't have. . .
",0.0,0.0
1461,". . .sex, did we?
",0.0,0.0
1462,"I don't remember much
",0.2,0.2
1463,"about last night.
",0.0,0.06666666666666667
1464,"It was such a blur.
",0.0,0.5
1465,"I remember laughing.
",0.0,0.0
1466,"I laughed a lot.
",0.7,0.2
1467,"Then we didn't have sex.
",0.0,0.0
1468,"Oh, I mean,
",-0.3125,0.6875
1469,"we were really drunk.
",-0.5,1.0
1470,"I'm glad we didn't
",0.5,1.0
1471,"do anything stupid.
",-0.7999999999999999,1.0
1472,"Tell me about it.
",0.0,0.0
1473,"Morning, Pheebs.
",0.0,0.0
1474,"Well, my movie has been
",0.0,0.0
1475,"officially canceled.
",0.0,0.0
1476,"Joey, I'm so sorry.
",-0.5,1.0
1477,"You want my breakfast?
",0.0,0.0
1478,"Too depressed to eat.
",0.0,0.0
1479,"I'll probably eat in, like,
",0.0,0.0
1480,"five minutes.
",0.0,0.0
1481,"I'll fly home with you.
",0.8,0.9
1482,"What time is your flight?
",0.0,0.0
1483,"-What about my cab?
",0.0,0.0
1484,"-I don't need that anymore.
",0.0,0.0
1485,"You borrowed my cab.
",0.0,0.0
1486,"You have to drive it back.
",0.0,0.0
1487,"I don't wanna drive back
",0.0,0.0
1488,"by myself. I get lonely.
",-0.09999999999999998,0.7
1489,"How about if you come with me?
",0.0,0.0
1490,"-It's a long trip.
",-0.05,0.4
1491,"-That would be great.
",0.8,0.75
1492,"We could talk and play games.
",0.0,0.0
1493,"This could be our chance
",0.0,0.0
1494,"to, like, renew our friendship.
",0.0,0.0
1495,"Are you asking me
",0.0,0.0
1496,"to have a ""frienaissance""?
",0.0,0.0
1497,"Sure?
",0.5,0.8888888888888888
1498,"All right, although I don't think we
",0.2857142857142857,0.5357142857142857
1499,"need one. I never stopped loving you.
",0.6,0.95
1500,"So has anybody talked
",0.0,0.0
1501,"to Dr. and Mrs. Geller yet?
",0.0,0.0
1502,"They left me a message.
",0.0,0.0
1503,"They'll be here.
",0.0,0.0
1504,"Where is the waitress? I'm starving.
",0.0,0.0
1505,"It's a buffet, man.
",0.0,0.0
1506,"Here's where I win
",0.8,0.4
1507,"all my money back!
",0.0,0.0
1508,"I gotta talk to you.
",0.0,0.0
1509,"Sure.
",0.5,0.8888888888888888
1510,"What's up?
",0.0,0.0
1511,"Monica and I almost got married.
",0.25,0.25
1512,"My God!
",0.0,0.0
1513,"That's huge!
",0.5000000000000001,0.9
1514,"Wait a minute. Why wasn't I invited?
",0.0,0.0
1515,"And who was gonna be your best man?
",1.0,0.3
1516,"Don't say Ross. Do not say Ross.
",0.0,0.0
1517,"I just don't think that Monica and I
",0.0,0.0
1518,"are ready yet. I love her. . .
",0.35,0.55
1519,". . .but seeing Ross and Rachel
",0.0,0.0
1520,"come out of that chapel. . .
",0.0,0.0
1521,". . .was like a wake-up call that Monica
",0.0,0.0
1522,"and I are moving so fast, you know.
",0.2,0.6
1523,"How do I tell her
",0.0,0.0
1524,"without crushing her?
",0.4,0.9
1525,"Tell her she's not marriage material.
",0.0,0.0
1526,"What?
",0.0,0.0
1527,"Girls say it to me all the time.
",0.0,0.0
1528,"And if she's anything like me,
",0.0,0.0
1529,"she's just gonna be relieved.
",0.0,0.0
1530,"How do I tell him that it's too soon?
",0.0,0.0
1531,"He's gonna think
",0.0,0.0
1532,"I don't love him anymore.
",0.5,0.6
1533,"-Well, you don't.
",0.0,0.0
1534,"-Yes, I do.
",0.0,0.0
1535,"Good. I was just testing you.
",0.7,0.6000000000000001
1536,"-Hey.
",0.0,0.0
1537,"-Oh, hi.
",0.0,0.0
1538,"We were just talking about bacon.
",0.0,0.0
1539,"No, we were talking about tennis.
",0.0,0.0
1540,"Tennis is more believable.
",0.5,0.5
1541,"Thank you.
",0.0,0.0
1542,"Coffee.
",0.0,0.0
1543,"What?
",0.0,0.0
1544,"Are we gonna talk about
",0.0,0.0
1545,"what you guys did last night?
",0.0,0.06666666666666667
1546,"What do you mean ""Iast night""?
",-0.3125,0.6875
1547,"Nothing happened last night.
",0.0,0.06666666666666667
1548,"Ross invited us all to watch.
",0.0,0.0
1549,"We weren't gonna miss
",0.0,0.0
1550,"our friends marrying.
",0.0,0.0
1551,"Who got married?
",0.25,0.25
1552,"You did.
",0.0,0.0
1553,"What?
",0.0,0.0
1554,"-Hello. We didn't get married.
",0.25,0.25
1555,"-No, we didn't. That's ridi--
",0.0,0.0
1556,"Wait, wait, wait.
",0.0,0.0
1557,"I remember being in a chapel.
",0.0,0.0
1558,"They would not let us get married
",0.25,0.25
1559,"when we were that drunk.
",-0.5,1.0
1560,"They let you get married.
",0.25,0.25
1561,"Most people who marry
",0.5,0.5
1562,"in Vegas are drunk.
",-0.5,1.0
1563,"Now, I'm drunk right now.
",-0.10714285714285715,0.7678571428571428
1564,"I can't have a mimosa with breakfast?
",0.0,0.0
1565,"I'm on vacation.
",0.0,0.0
1566,"What are you gonna do?
",0.0,0.0
1567,"Well, I guess we find
",0.0,0.0
1568,"a divorce lawyer.
",0.0,0.0
1569,"Well, I think, I think
",0.0,0.0
1570,"Ross already has one.
",0.0,0.0
1571,"Now, this one's free, right?
",0.34285714285714286,0.6678571428571429
1572,"Because you paid for the first two.
",0.25,0.3333333333333333
1573,"Laugh it up, but the joke's on you. . .
",0.3,0.1
1574,". . .because we don't need
",0.0,0.0
1575,"to get divorced.
",0.0,0.0
1576,"-We're just gonna get an annulment.
",0.0,0.0
1577,"-An annulment?
",0.0,0.0
1578,"Ross, I don't think surgery
",0.0,0.0
1579,"is the answer here.
",0.0,0.0
1580,"Oh, that's your thing!
",0.0,0.0
1581,"What?
",0.0,0.0
1582,"Your thing, that you're the guy
",0.0,0.0
1583,"who gets divorced.
",0.0,0.0
1584,"No, no, that's not ""my thing. ""
",0.0,0.0
1585,"I do not love getting divorced.
",-0.25,0.6
1586,"Yes, you do. This is
",0.0,0.0
1587,"your third divorce.
",0.0,0.0
1588,"You love divorce so much,
",0.35,0.4
1589,"you're probably gonna marry it. . .
",0.0,0.0
1590,". . .and then it won't work out,
",0.0,0.0
1591,"so you're gonna have to divorce it.
",0.0,0.0
1592,"I'm so drunk.
",-0.5,1.0
1593,"-So what should we do?
",0.0,0.0
1594,"-I don't know.
",0.0,0.0
1595,"I know I love you.
",0.5,0.6
1596,"I know I love you.
",0.5,0.6
1597,"Where are we on the whole
",0.2,0.4
1598,"""going back. . .
",0.0,0.0
1599,". . .to where they have the marriages""
",0.0,0.0
1600,"thing? I love you.
",0.5,0.6
1601,"That's a good question.
",0.7,0.6000000000000001
1602,"Last night we let the dice decide.
",0.0,0.06666666666666667
1603,"We should leave it
",0.0,0.0
1604,"up to fate again. I love you!
",0.625,0.6
1605,"We don't get married
",0.25,0.25
1606,"unless there's a sign.
",0.0,0.0
1607,"So say. . . .
",0.0,0.0
1608,"You roll another eight,
",0.0,0.0
1609,"then there's a sign. . .
",0.0,0.0
1610,". . .that we should marry.
",0.0,0.0
1611,"Eight we get married. . .
",0.25,0.25
1612,". . .but 2, 3, 4, 5, 6, 7, 9, 1 0,
",0.0,0.0
1613,"1 1 , 1 2, we don't get married.
",0.25,0.25
1614,"Sounds great.
",0.8,0.75
1615,"Hey, we got a shooter.
",0.0,0.0
1616,"Money, please.
",0.0,0.0
1617,"-Ready?
",0.2,0.5
1618,"-Ready.
",0.2,0.5
1619,"Come on, eight.
",0.0,0.0
1620,"Yes, yes, eight.
",0.0,0.0
1621,"Eight, easy eight.
",0.43333333333333335,0.8333333333333334
1622,"-I can't believe I rolled an eight.
",0.0,0.0
1623,"-That was so unlikely.
",-0.5,0.5
1624,"Let's get married.
",0.25,0.25
1625,"I guess.
",0.0,0.0
1626,"Last night I rolled a hard eight.
",-0.14583333333333334,0.30416666666666664
1627,"It was the wrong kind of eight.
",0.04999999999999999,0.9
1628,"No wedding! Damn it!
",0.0,0.0
1629,"I wanted it so bad!
",-0.8749999999999998,0.6666666666666666
1630,"Wanna go pack?
",0.0,0.0
1631,"We're doing the right thing.
",0.2857142857142857,0.5357142857142857
1632,"Of course we are.
",0.0,0.0
1633,"We left it up to fate.
",0.0,0.0
1634,"If we were supposed to get married,
",0.25,0.25
1635,"there would be a sign.
",0.0,0.0
1636,"Okay, you have 1 9 questions left.
",0.25,0.25
1637,"Use them wisely.
",0.7,0.9
1638,"Come on, Joey. You can't win
",0.8,0.4
1639,"if you don't ask any questions!
",0.0,0.0
1640,"What?
",0.0,0.0
1641,"You promised me a fun road trip.
",0.3,0.2
1642,"We've been on the road for 6 hours,
",0.0,0.0
1643,"and you've been asleep for 5 1 /2.
",0.0,0.0
1644,"We are switching, and
",0.0,0.0
1645,"you are going to drive back.
",0.0,0.0
1646,"That will be your punishment,
",0.0,0.0
1647,"you greedy sleeper!
",0.0,0.0
1648,"All right.
",0.2857142857142857,0.5357142857142857
1649,"And until then, you are going
",0.0,0.0
1650,"to sing to me.
",0.0,0.0
1651,"Because the radio's broken, and you are
",-0.4,0.4
1652,"selfish, but you have a nice voice.
",0.04999999999999999,1.0
1653,"-Really?
",0.2,0.2
1654,"-Sing!
",0.0,0.0
1655,"I wanna rock 'n ' roll all night
",0.0,0.0
1656,"Man, this is a long drive.
",-0.05,0.4
1657,"Are my eyes open?
",0.0,0.5
1658,"No!
",0.0,0.0
1659,"Morning.
",0.0,0.0
1660,"Hey.
",0.0,0.0
1661,"Hey, hubby.
",0.0,0.0
1662,"Actually, I wanted to talk to you
",0.0,0.1
1663,"about that whole annulment thing.
",0.2,0.4
1664,"Yeah, I'm not gonna do that.
",0.0,0.0
1665,"Okay.
",0.5,0.5
1666,"So we'll just stay married.
",0.25,0.25
1667,"Yes, exactly.
",0.25,0.25
1668,"And I will make everyone
",0.0,0.0
1669,"call me Mrs. Geller.
",0.0,0.0
1670,"Wow, this is so amazing.
",0.35000000000000003,0.95
1671,"I really thought I'd have to
",0.2,0.2
1672,"talk you into this more.
",0.5,0.5
1673,"Now I'm scared because I don't
",0.0,0.0
1674,"actually think you're kidding.
",0.0,0.1
1675,"I'm not kidding.
",0.0,0.0
1676,"Look. . .
",0.0,0.0
1677,". . .I can't have three
",0.0,0.0
1678,"failed marriages.
",-0.5,0.3
1679,"I can't, okay?
",0.5,0.5
1680,"I am not gonna be that guy.
",0.0,0.0
1681,"So what, we just
",0.0,0.0
1682,"stay married forever?
",0.25,0.25
1683,"How is this going
",0.0,0.0
1684,"to affect you, really?
",0.2,0.2
1685,"I mean, you fill some form out
",-0.3125,0.6875
1686,"once in a while. . .
",0.0,0.0
1687,". . .instead of checking the box ""Miss,""
",0.0,0.0
1688,"you check the box that says, ""Mrs. ""
",0.0,0.0
1689,"It's right next to it.
",0.14285714285714285,0.26785714285714285
1690,"Okay. I'm sorry, you're right.
",0.09523809523809523,0.6785714285714285
1691,"You know what?
",0.0,0.0
1692,"We can stay married. . .
",0.25,0.25
1693,". . .because I thought that the boxes
",0.0,0.0
1694,"were far away from each other.
",-0.012499999999999997,0.6875
1695,"All right.
",0.2857142857142857,0.5357142857142857
1696,"Look, just. . .
",0.0,0.0
1697,". . .please take a moment here. . .
",0.0,0.0
1698,". . .and think about what
",0.0,0.0
1699,"you're asking of me. Okay?
",0.5,0.5
1700,"I am asking you to do me a favor.
",0.0,0.0
1701,"You are asking me to be your wife.
",0.0,0.0
1702,"And, as my wife, I think
",0.0,0.0
1703,"you should grant me this favor.
",0.0,0.0
1704,"That kid kicked me really hard.
",-0.2916666666666667,0.5416666666666666
1705,"Well, you did pull his hair.
",0.0,0.0
1706,"-He took my snack.
",0.0,0.0
1707,"-I'm not getting into this again.
",0.0,0.0
1708,"All right, you know what?
",0.2857142857142857,0.5357142857142857
1709,"Hurts really bad.
",-0.6999999999999998,0.6666666666666666
1710,"Well, I told you not to walk. Here.
",0.0,0.0
1711,"There. There. Okay.
",0.5,0.5
1712,"-This doesn't mean anything, does it?
",-0.3125,0.6875
1713,"-No.
",0.0,0.0
1714,"How could you pick up a hitchhiker?
",0.0,0.0
1715,"He could be a rape-- He could be
",0.0,0.0
1716,"a rapist or a killer or something.
",0.0,0.0
1717,"Don't you think I asked him that
",0.0,0.0
1718,"before he got in?
",0.0,0.0
1719,"I'm not talking to you.
",0.0,0.0
1720,"You go back to sleep.
",0.0,0.0
1721,"And, you, are you a rapist?
",0.0,0.0
1722,"No.
",0.0,0.0
1723,"Do you like car games?
",0.0,0.0
1724,"Yeah, you know
",0.0,0.0
1725,"the license plate game?
",-0.4,0.4
1726,"I love the license plate game!
",0.0,0.5
1727,"I'll play. I'll play.
",0.0,0.0
1728,"No, you need your sleep.
",0.0,0.0
1729,"Night-night.
",0.0,0.0
1730,"Listen. I know you wanted
",0.0,0.0
1731,"to talk to me. . .
",0.0,0.0
1732,". . .but I have an idea that may
",0.0,0.0
1733,"make you wanna stay married.
",0.25,0.25
1734,"We register. . .
",0.0,0.0
1735,". . .and you get to keep
",0.0,0.0
1736,"all the presents.
",0.0,0.0
1737,"No, Ross, come on. No, listen.
",0.0,0.0
1738,"I've thought about
",0.0,0.0
1739,"how to tell you this.
",0.0,0.0
1740,"The bottom line, Ross. . .
",0.0,0.0
1741,". . .is, we cannot stay married.
",0.25,0.25
1742,"-I don't know if that's true--
",0.35,0.65
1743,"-Oh, but it is.
",0.0,0.0
1744,"Okay. You know what this is?
",0.5,0.5
1745,"This is a difference of opinion.
",0.0,0.0
1746,"-When that happens in a marriage--
",0.0,0.0
1747,"-Ross, come on!
",0.0,0.0
1748,"This is not a marriage!
",0.0,0.0
1749,"This is the world's worst hangover!
",-1.0,1.0
1750,"Ross, listen, if you do not
",0.0,0.0
1751,"get this annulment, I will.
",0.0,0.0
1752,"All right.
",0.2857142857142857,0.5357142857142857
1753,"All right, I'll do it.
",0.2857142857142857,0.5357142857142857
1754,"Thank you.
",0.0,0.0
1755,"Hey, hey. . .
",0.0,0.0
1756,". . .is there any such thing
",0.0,0.5
1757,"as an annulment shower?
",0.0,0.0
1758,"There's the train station,
",0.0,0.0
1759,"where I get off.
",0.0,0.0
1760,"I have your address
",0.0,0.0
1761,"and phone number.
",0.0,0.0
1762,"I have your name and the fact
",0.0,0.0
1763,"that you're a drifter.
",0.0,0.0
1764,"So ball's pretty much
",0.225,0.6
1765,"in your court.
",0.0,0.0
1766,"All right. See you, Pheebs.
",0.2857142857142857,0.5357142857142857
1767,"Come on, Pheebs, I can't
",0.0,0.0
1768,"take this anymore.
",0.0,0.0
1769,"Please talk to me.
",0.0,0.0
1770,"Let me make it up to you.
",0.0,0.0
1771,"Ground control to Major Tom
",0.0625,0.5
1772,"Commencing countdown
",0.0,0.0
1773,"Engines on
",0.0,0.0
1774,"Take your protein pills
",0.0,0.0
1775,"And put your helmet on
",0.0,0.0
1776,"-This is--
",0.0,0.0
1777,"-Stop it! Stop it! No!
",0.0,0.0
1778,"That's not fair. You know I can't
",-0.35,0.9
1779,"resist that beautiful voice.
",0.85,1.0
1780,"Pheebs, look, I am so sorry.
",-0.5,1.0
1781,"I promised you a fun
",0.3,0.2
1782,"road trip with your friend. . .
",0.0,0.0
1783,". . .and I didn't deliver, okay?
",0.5,0.5
1784,"Now I know that you think being awake
",0.0,0.0
1785,"is an important part of friendship.
",0.4,1.0
1786,"So I will strive to stay awake
",0.0,0.0
1787,"for as long as I know you.
",-0.05,0.4
1788,"You can still sleep
",0.0,0.0
1789,"at night and stuff.
",0.0,0.0
1790,"Thank you.
",0.0,0.0
1791,"So can we play 20 Questions now?
",0.0,0.0
1792,"I got a good one.
",0.7,0.6000000000000001
1793,"I thought about it since Kansas.
",0.0,0.0
1794,"Okay.
",0.5,0.5
1795,"Is it. . .
",0.0,0.0
1796,". . .a kind of hot sandwich?
",0.425,0.875
1797,"Yes.
",0.0,0.0
1798,"Is it a meatball sub?
",0.0,0.0
1799,"That is incredible!
",1.0,0.9
1800,"You are the master!
",0.0,0.0
1801,"Bug!
",0.0,0.0
1802,"-You look like you're--
",0.0,0.0
1803,"-Don't say it!
",0.0,0.0
1804,"Don't even think it.
",0.0,0.0
1805,"All right.
",0.2857142857142857,0.5357142857142857
1806,"Chandler, enjoy your handful.
",0.4,0.5
1807,"Should we just get married?
",0.25,0.25
1808,"All the signs are telling us to do it.
",0.0,0.0
1809,"I'm sick of the signs.
",-0.7142857142857143,0.8571428571428571
1810,"-I'm happy the way things are.
",0.8,1.0
1811,"-Me too.
",0.0,0.0
1812,"-I don't want change, do you?
",0.0,0.0
1813,"-No.
",0.0,0.0
1814,"Then nothing changes!
",0.0,0.0
1815,"Everything stays the same!
",0.0,0.125
1816,"Go unpack. It's been three days,
",0.0,0.0
1817,"and it drives me insane!
",-1.0,1.0
1818,"Jeez, relax, it's not
",0.0,0.0
1819,"like we're mar--
",0.0,0.0
1820,"You know, I was thinking
",0.0,0.0
1821,"what if l. . .
",0.0,0.0
1822,". . .unpack here?
",0.0,0.0
1823,"All your stuff would be here.
",0.0,0.0
1824,"Well. . . .
",0.0,0.0
1825,"What if all my stuff was here?
",0.0,0.0
1826,"Then you'd be going back
",0.0,0.0
1827,"and forth all the time.
",0.0,0.0
1828,"Doesn't make any sense.
",0.0,0.0
1829,"Okay.
",0.5,0.5
1830,"What if we live together,
",0.13636363636363635,0.5
1831,"and you get what I'm saying?
",0.0,0.0
1832,"Live together?
",0.13636363636363635,0.5
1833,"There've been no signs for that.
",0.0,0.0
1834,"Me asking is kind of a sign.
",0.6,0.9
1835,"Yes! Yes! Yes!
",0.0,0.0
1836,"Okay. Okay, wait.
",0.5,0.5
1837,"Wait, wait, wait.
",0.0,0.0
1838,"Here's your key. Here's your key.
",0.0,1.0
1839,"Now go out and christen it!
",0.0,0.0
1840,"Go out and come back in!
",0.0,0.0
1841,"Door hasn't been locked
",0.0,0.0
1842,"in five years, but okay.
",0.5,0.5
1843,"-Ready?
",0.2,0.5
1844,"-Ready!
",0.25,0.5
1845,"The key broke in the lock,
",0.0,1.0
1846,"and I can't get in.
",0.0,0.0
1847,"Wait. Oh, my God, I can't get out!
",0.0,0.0
1848,"-This isn't a sign!
",0.0,0.0
1849,"-No, it's a very old key!
",0.065,0.63
1850,"-It's an old key!
",0.05,0.6
1851,"-Oh, my God, it's old!
",0.125,0.2
1852,"I love you.
",0.5,0.6
1853,"I love you.
",0.5,0.6
1854,"Are you hugging the door right now?
",0.2857142857142857,0.5357142857142857
1855,"No.
",0.0,0.0
1856,"Yeah, yeah, me neither.
",0.0,0.0
1857,"So did everything go all right
",0.2857142857142857,0.5357142857142857
1858,"with the annulment?
",0.0,0.0
1859,"Oh, yeah. No problems.
",0.0,0.0
1860,"It's all taken care of.
",0.0,0.0
1861,"Ross, thank you.
",0.0,0.0
1862,"Do you wanna go see a movie?
",0.0,0.0
1863,"-Yeah, why not?
",0.0,0.0
1864,"-Pheebs?
",0.0,0.0
1865,"Thanks, I've already seen one.
",0.2,0.2
1866,"Okay, I'm gonna get my sweater.
",0.5,0.5
1867,"You wanna hear something weird?
",-0.5,1.0
1868,"Always.
",0.0,0.0
1869,"I didn't get the annulment.
",0.0,0.0
1870,"What?
",0.0,0.0
1871,"We're still married.
",0.25,0.25
1872,"Don't tell Rachel. See you later.
",0.0,0.0
1873,"What are you doing?
",0.0,0.0
1874,"Key is stuck in the lock.
",0.0,1.0
1875,"I can fix it. Hold on.
",0.0,0.0
1876,"Watch out, watch out.
",0.0,0.0
1877,"It still doesn't work.
",0.0,0.0
1878,"I'm not finished.
",0.0,0.0
1879,"Nice job, Joe.
",0.6,1.0
1880,"You're quite the craftsman!
",0.0,0.0
1881,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
",0.0,0.0
1882,"Did everything go okay
",0.5,0.5
1883,"with the annulment?
",0.0,0.0
1884,"No problems.
",0.0,0.0
1885,"It's all taken care of.
",0.0,0.0
1886,"Ross, thank you.
",0.0,0.0
1887,"Want to go see a movie?
",0.0,0.0
1888,"Yeah, why not?
",0.0,0.0
1889,"I'll get my sweater.
",0.0,0.0
1890,"Want to hear something weird?
",-0.5,1.0
1891,"Always.
",0.0,0.0
1892,"I didn't get the annulment.
",0.0,0.0
1893,"What?
",0.0,0.0
1894,"We're still married.
",0.25,0.25
1895,"Don't tell Rachel. See you later.
",0.0,0.0
1896,"Do you have any gum?
",0.0,0.0
1897,"Wait! Wait! Ross, can I just
",0.0,0.0
1898,"talk to you for just a second?
",0.0,0.0
1899,"We'll be late for the movie.
",-0.3,0.6
1900,"There's a cab. Taxi!
",0.0,0.0
1901,"That's great.
",0.8,0.75
1902,"What timing! My God, huh?
",0.0,0.0
1903,"There you go.
",0.0,0.0
1904,"We're gonna walk.
",0.0,0.0
1905,"It's right at the Angelika.
",0.2857142857142857,0.5357142857142857
1906,"The Angelika! Go! Go!
",0.0,0.0
1907,"You didn't get the annulment?!
",0.0,0.0
1908,"I know.
",0.0,0.0
1909,"I tried, but when I got to
",0.0,0.0
1910,"my lawyer's office, all I heard was:
",0.0,0.0
1911,"""Three divorces! Three divorces! ""
",0.0,0.0
1912,"I just don't want my tombstone to read
",0.0,0.0
1913,"""Ross Geller: Three Divorces. ""
",0.0,0.0
1914,"Don't worry about that. Your tombstone
",0.0,0.0
1915,"can say whatever you want.
",0.0,0.0
1916,"It can say,
",0.0,0.0
1917,"""Ross Geller: Good at Marriage. ""
",0.7,0.6000000000000001
1918,"You know what? Mine's gonna say,
",0.0,0.0
1919,"""Phoebe Buffay: Buried Alive. ""
",0.1,0.4
1920,"All I know is, I can't have
",0.0,0.0
1921,"another failed marriage.
",-0.5,0.3
1922,"So you're gonna be married to
",0.25,0.25
1923,"a girl who doesn't even know about it?
",0.0,0.0
1924,"Woman. Sorry.
",-0.5,1.0
1925,"Okay, so I don't have it all
",0.5,0.5
1926,"worked out quite yet.
",0.0,0.0
1927,"Just don't say anything to Rachel.
",0.0,0.0
1928,"Rachel is one of my closest friends.
",0.0,0.0
1929,"But being the only one that knows
",0.0,1.0
1930,"about this makes me feel special. Okay.
",0.4285714285714286,0.5357142857142857
1931,"Okay, stop, stop! Phoebe?
",0.625,0.5
1932,"Hey, Rach!
",0.0,0.0
1933,"What was that?
",0.0,0.0
1934,"Sorry. Mix-up.
",-0.5,1.0
1935,"How was the movie?
",0.0,0.0
1936,"I haven't seen it yet.
",0.0,0.0
1937,"You'd better hurry.
",0.5,0.5
1938,"The Angelika! Go!
",0.0,0.0
1939,"The One Where Ross Hugs Rachel
",0.0,0.0
1940,"English Subtitles by
",0.0,0.0
1941,"Gelula/SDI
",0.0,0.0
1942,"When I move in,
",0.0,0.0
1943,"can I get a gumball machine?
",0.0,0.0
1944,"Of course. Joey wouldn't
",0.0,0.0
1945,"let you have one?
",0.0,0.0
1946,"No, when it comes to sweets,
",0.0,0.0
1947,"he's surprisingly strict.
",0.7,0.5
1948,"Did you tell him you're moving out?
",0.0,0.0
1949,"No, I keep trying.
",0.0,0.0
1950,"And I can get out ""Joey, I have to--""
",0.0,0.0
1951,"Then I lose my nerve and I finish
",0.0,0.0
1952,"with ""--go to the bathroom. ""
",0.0,0.0
1953,"He may think I'm sick.
",-0.7142857142857143,0.8571428571428571
1954,"I have to tell Rachel, but. . . .
",0.0,0.0
1955,"We just gotta get it over with.
",0.0,0.0
1956,"Next time we see them,
",0.0,0.0
1957,"we'll just tell them. That's it.
",0.0,0.0
1958,"That's how it'll work now?
",0.0,0.0
1959,"You'll just order me around?
",0.0,0.0
1960,"-Pretty much.
",0.225,0.6
1961,"-All right.
",0.2857142857142857,0.5357142857142857
1962,"Hey, man, you feeling better?
",0.5,0.5
1963,"We have something to tell you.
",0.0,0.0
1964,"Oh, my God!
",0.0,0.0
1965,"You're pregnant!
",0.41666666666666663,0.5
1966,"No!
",0.0,0.0
