,Dialogue,preprocess_txt,total_len,pos_count,neg_count,sentiment
11948,"I told Lizzie and now I'm telling you.
","['told', 'lizzie', 'telling']",3,0,0,0.0
11949,"I don't want you seeing
","['want', 'seeing']",2,0,0,0.0
11950,"my daughter anymore.
","['daughter', 'anymore']",2,0,0,0.0
11951,"All right, look. I realize it upsets you.
","['right', 'look', 'realize', 'upset']",4,1,1,0.0
11952,"Yes, it does.
",['yes'],1,0,0,0.0
11953,"But Elizabeth and I are both adults...
","['elizabeth', 'adult']",2,0,0,0.0
11954,"...so I don't think there's really anything
","['think', 'really', 'anything']",3,0,0,0.0
11955,"you can do about it.
",[],0,0,0,
11956,"I'll inform the university
","['inform', 'university']",2,0,0,0.0
11957,"of your relationship, and have you fired.
","['relationship', 'fired']",2,0,0,0.0
11958,"A man with a plan!
","['man', 'plan']",2,0,0,0.0
11959,"The One Where Paul's The Man
","['one', 'paul', 'man']",3,0,0,0.0
11960,"English subtitles by Softitler
","['english', 'subtitle', 'softitler']",3,0,0,0.0
11961,"This is so exciting. You get your picture
","['exciting', 'get', 'picture']",3,1,0,0.33
11962,"back up on the wall of fame.
","['back', 'wall', 'fame']",3,1,0,0.33
11963,"I know.
",['know'],1,0,0,0.0
11964,"It was so cool when it was up there before.
",['cool'],1,1,0,1.0
11965,"Me and Jim Belushi would just be
","['jim', 'belushi', 'would']",3,0,0,0.0
11966,"cracking up about something.
","['cracking', 'something']",2,0,0,0.0
11967,"Then I get fired off Days of Our Lives
","['get', 'fired', 'day', 'life']",4,0,0,0.0
11968,"and he takes me down.
",['take'],1,0,0,0.0
11969,"Now he's just laughing at me.
",['laughing'],1,0,0,0.0
11970,"Look at him. That smug Belushi bastard!
","['look', 'smug', 'belushi', 'bastard']",4,0,2,-0.5
11971,"Okay. Maybe when they put your picture
","['okay', 'maybe', 'put', 'picture']",4,0,0,0.0
11972,"back up...
",['back'],1,0,0,0.0
11973,"...they could put you next to Matt Lauer.
","['could', 'put', 'next', 'matt', 'lauer']",5,0,0,0.0
11974,"Look at him just smiling at me.
","['look', 'smiling']",2,1,0,0.5
11975,"Yeah, I know. We'd be great together.
","['yeah', 'know', 'great', 'together']",4,1,0,0.25
11976,"-So I'm back.
",['back'],1,0,0,0.0
11977,"-Who are you?
",[],0,0,0,
11978,"Joey Tribbiani.
","['joey', 'tribbiani']",2,0,0,0.0
11979,"From the wall?
",['wall'],1,0,0,0.0
11980,"Okay, maybe this will jog your memory.
","['okay', 'maybe', 'jog', 'memory']",4,0,0,0.0
11981,"Okay, anyway.
","['okay', 'anyway']",2,0,0,0.0
11982,"I'm ready to go back up on the wall.
","['ready', 'go', 'back', 'wall']",4,1,0,0.25
11983,"I'm the star of a new TV show.
","['star', 'new', 'tv', 'show']",4,0,0,0.0
11984,"-Show me in the TV book.
","['show', 'tv', 'book']",3,0,0,0.0
11985,"-Well, it's not on TV yet.
","['well', 'tv', 'yet']",3,1,0,0.33
11986,"Well, then it's not on the wall yet.
","['well', 'wall', 'yet']",3,1,0,0.33
11987,"Okay, fine. I will bring you a tape.
","['okay', 'fine', 'bring', 'tape']",4,1,0,0.25
11988,"So, do you have any
",[],0,0,0,
11989,"of Matt Lauer's clothes here?
","['matt', 'lauer', 'clothes']",3,0,0,0.0
11990,"Maybe?
",['maybe'],1,0,0,0.0
11991,"Just ones that haven't been cleaned yet?
","['one', 'cleaned', 'yet']",3,0,0,0.0
11992,"Fine.
",['fine'],1,1,0,1.0
11993,"I love museums.
","['love', 'museum']",2,1,0,0.5
11994,"-Soaking up all the culture.
","['soaking', 'culture']",2,0,0,0.0
11995,"-Yeah.
",['yeah'],1,0,0,0.0
11996,"-Where do you want to start?
","['want', 'start']",2,0,0,0.0
11997,"-The gift shop!
","['gift', 'shop']",2,0,0,0.0
11998,"-And then lunch.
",['lunch'],1,0,0,0.0
11999,"-Yes, but I can't eat too much.
","['yes', 'eat', 'much']",3,0,0,0.0
12000,"Paul's taking me out to dinner tonight.
","['paul', 'taking', 'dinner', 'tonight']",4,0,0,0.0
12001,"He said he has a big surprise planned.
","['said', 'big', 'surprise', 'planned']",4,0,0,0.0
12002,"What do you think?
",['think'],1,0,0,0.0
12003,"Maybe he's gonna tell you he's gay?
","['maybe', 'gon', 'na', 'tell', 'gay']",5,0,0,0.0
12004,"What? No, why?
",[],0,0,0,
12005,"No reason. That would just be
","['reason', 'would']",2,0,0,0.0
12006,"a really big surprise, right?
","['really', 'big', 'surprise', 'right']",4,1,0,0.25
12007,"You could put the aisle over here
","['could', 'put', 'aisle']",3,0,0,0.0
12008,"and have the wedding ceremony here.
","['wedding', 'ceremony']",2,0,0,0.0
12009,"I didn't know you could get married here.
","['know', 'could', 'get', 'married']",4,0,0,0.0
12010,"This would be a beautiful place
","['would', 'beautiful', 'place']",3,1,0,0.33
12011,"to get married.
","['get', 'married']",2,0,0,0.0
12012,"But I wouldn't put the aisle there.
","['put', 'aisle']",2,0,0,0.0
12013,"And I'd never have the ceremony there.
","['never', 'ceremony']",2,0,0,0.0
12014,"You'd have the ceremony
",['ceremony'],1,0,0,0.0
12015,"under this beautiful arch.
","['beautiful', 'arch']",2,1,0,0.5
12016,"May I help you?
","['may', 'help']",2,0,0,0.0
12017,"Sorry. Didn't mean to interrupt.
","['sorry', 'mean', 'interrupt']",3,1,3,-0.67
12018,"It's a beautiful space.
","['beautiful', 'space']",2,1,0,0.5
12019,"-Do you do a lot of weddings here?
","['lot', 'wedding']",2,0,0,0.0
12020,"-Yes, we're popular.
","['yes', 'popular']",2,1,0,0.5
12021,"There's a two-year waiting list. Sorry.
","['two', 'year', 'waiting', 'list', 'sorry']",5,1,2,-0.2
12022,"You should totally put
","['totally', 'put']",2,0,0,0.0
12023,"your name down for this place.
","['name', 'place']",2,0,0,0.0
12024,"What? Are you crazy?
",['crazy'],1,0,1,-1.0
12025,"I'm not getting married.
","['getting', 'married']",2,0,0,0.0
12026,"I'm not even engaged.
","['even', 'engaged']",2,0,0,0.0
12027,"There's a two-year wait.
","['two', 'year', 'wait']",3,0,0,0.0
12028,"What if you get engaged in two years?
","['get', 'engaged', 'two', 'year']",4,0,0,0.0
12029,"Then you've gotta wait another two years?
","['got', 'ta', 'wait', 'another', 'two', 'year']",6,0,0,0.0
12030,"That's four years.
","['four', 'year']",2,0,0,0.0
12031,"Chandler's not gonna wait that long.
","['chandler', 'gon', 'na', 'wait', 'long']",5,0,0,0.0
12032,"He's gonna find somebody else, you know?
","['gon', 'na', 'find', 'somebody', 'else', 'know']",6,0,0,0.0
12033,"Someone who did put their name
","['someone', 'put', 'name']",3,0,0,0.0
12034,"on the list.
",['list'],1,1,1,0.0
12035,"Yeah. It can't hurt to put your name down.
","['yeah', 'hurt', 'put', 'name']",4,0,1,-0.25
12036,"I mean, in two years, if you're not engaged,
","['mean', 'two', 'year', 'engaged']",4,1,1,0.0
12037,"you just don't use it.
",['use'],1,1,1,0.0
12038,"Well, I guess there is no harm
","['well', 'guess', 'harm']",3,1,1,0.0
12039,"in putting my name down.
","['putting', 'name']",2,0,0,0.0
12040,"I'm gonna do it, too.
","['gon', 'na']",2,0,0,0.0
12041,"Me, too!
",[],0,0,0,
12042,"Really? Who would you marry?
","['really', 'would', 'marry']",3,0,0,0.0
12043,"I don't know.
",['know'],1,0,0,0.0
12044,"I don't have anyone right now.
","['anyone', 'right']",2,1,0,0.5
12045,"Oh, Pheebs.
","['oh', 'pheebs']",2,0,0,0.0
12046,"Don't feel too sorry for me.
","['feel', 'sorry']",2,0,1,-0.5
12047,"At least my boyfriend isn't gay.
","['least', 'boyfriend', 'gay']",3,0,0,0.0
12048,"Phoebe, that's not--
",['phoebe'],1,0,0,0.0
12049,"Don't even get me started on yours.
","['even', 'get', 'started']",3,0,0,0.0
12050,"-So, did you watch the tape of my show?
","['watch', 'tape', 'show']",3,0,0,0.0
12051,"-I did.
",[],0,0,0,
12052,"-All right. Let's get me back up there.
","['right', 'let', 'get', 'back']",4,1,0,0.25
12053,"-No. You don't go up on the wall.
","['go', 'wall']",2,0,0,0.0
12054,"-What? But you saw the show.
","['saw', 'show']",2,0,0,0.0
12055,"-Yes. It was very offensive to my people.
","['yes', 'offensive', 'people']",3,0,1,-0.33
12056,"Dry cleaners?
","['dry', 'cleaner']",2,1,0,0.5
12057,"Russians. It showed them
","['russian', 'showed']",2,0,0,0.0
12058,"as terrorists and villains.
","['terrorist', 'villain']",2,0,0,0.0
12059,"Okay, okay.
","['okay', 'okay']",2,0,0,0.0
12060,"Look, you got Harrison Ford up there!
","['look', 'got', 'harrison', 'ford']",4,0,0,0.0
12061,"That's right.
",['right'],1,1,0,1.0
12062,"Mr. Ford is a very good customer.
","['mr', 'ford', 'good', 'customer']",4,1,0,0.25
12063,"He brings us a lot of clothes.
","['brings', 'u', 'lot', 'clothes']",4,0,0,0.0
12064,"You bring us nothing!
","['bring', 'u', 'nothing']",3,0,0,0.0
12065,"Okay, that may be true.
","['okay', 'may', 'true']",3,0,0,0.0
12066,"But in Air Force One, okay,
","['air', 'force', 'one', 'okay']",4,0,0,0.0
12067,"the Russians were terrorists and evil!
","['russian', 'terrorist', 'evil']",3,0,1,-0.33
12068,"And plus, he kills a bunch of them.
","['plus', 'kill', 'bunch']",3,0,1,-0.33
12069,"That's offensive to Russians.
","['offensive', 'russian']",2,0,1,-0.5
12070,"I've never seen it.
","['never', 'seen']",2,0,0,0.0
12071,"You should. It's great!
",['great'],1,1,0,1.0
12072,"This place is really beautiful.
","['place', 'really', 'beautiful']",3,1,0,0.33
12073,"Yeah. I've been coming here since I was
","['yeah', 'coming', 'since']",3,0,0,0.0
12074,"a kid. This used to be my grandma's.
","['kid', 'used', 'grandma']",3,0,0,0.0
12075,"The only thing I got
","['thing', 'got']",2,0,0,0.0
12076,"from my grandmother was her eyes.
","['grandmother', 'eye']",2,0,0,0.0
12077,"I mean, not her actual eyeballs.
","['mean', 'actual', 'eyeball']",3,1,1,0.0
12078,"But people say that my eyes look....
","['people', 'say', 'eye', 'look']",4,0,0,0.0
12079,"Do you want to make out?
","['want', 'make']",2,0,0,0.0
12080,"Sure.
",['sure'],1,0,0,0.0
12081,"Are you okay?
",['okay'],1,0,0,0.0
12082,"What's wrong?
",['wrong'],1,0,1,-1.0
12083,"Yeah. I was just thinking
","['yeah', 'thinking']",2,0,0,0.0
12084,"about your father.
",['father'],1,0,0,0.0
12085,"Well, whatever works for you.
","['well', 'whatever', 'work']",3,2,0,0.67
12086,"No.
",[],0,0,0,
12087,"He just really freaked me out before.
","['really', 'freaked']",2,0,0,0.0
12088,"So we have to hide our relationship
","['hide', 'relationship']",2,0,0,0.0
12089,"from one more person.
","['one', 'person']",2,0,0,0.0
12090,"Big deal.
","['big', 'deal']",2,0,0,0.0
12091,"Besides, we've had fun hiding it.
","['besides', 'fun', 'hiding']",3,1,0,0.33
12092,"Yeah.
",['yeah'],1,0,0,0.0
12093,"-Yeah?
",['yeah'],1,0,0,0.0
12094,"-You brought protection, right?
","['brought', 'protection', 'right']",3,2,0,0.67
12095,"Why? Are there like bears or something?
","['like', 'bear', 'something']",3,1,0,0.33
12096,"Protection. Yeah. No, yeah.
","['protection', 'yeah', 'yeah']",3,1,0,0.33
12097,"That, that I forgot.
",['forgot'],1,0,0,0.0
12098,"-I'll just run to the store and get some.
","['run', 'store', 'get']",3,0,0,0.0
12099,"-No. I'm the guy. I'll get it.
","['guy', 'get']",2,0,0,0.0
12100,"-Do you know where the store is?
","['know', 'store']",2,0,0,0.0
12101,"-No.
",[],0,0,0,
12102,"Do you want to ride around town
","['want', 'ride', 'around', 'town']",4,0,0,0.0
12103,"on my little pink bicycle?
","['little', 'pink', 'bicycle']",3,0,0,0.0
12104,"A little bit.
","['little', 'bit']",2,0,0,0.0
12105,"-I'll be back in 10 minutes.
","['back', 'minute']",2,0,0,0.0
12106,"-Okay.
",['okay'],1,0,0,0.0
12107,"Why don't you get in the hot tub
","['get', 'hot', 'tub']",3,1,0,0.33
12108,"and I'll meet you there.
",['meet'],1,0,0,0.0
12109,"Okay.
",['okay'],1,0,0,0.0
12110,"Oh, my God! What a great surprise!
","['oh', 'god', 'great', 'surprise']",4,1,0,0.25
12111,"This is such a beautiful house!
","['beautiful', 'house']",2,1,0,0.5
12112,"Thank you. It used to be my mother's.
","['thank', 'used', 'mother']",3,1,0,0.33
12113,"This is the kitchen.
",['kitchen'],1,0,0,0.0
12114,"You've reached Monica and Chandler's.
","['reached', 'monica', 'chandler']",3,0,0,0.0
12115,"If you're listening to this message,
","['listening', 'message']",2,0,0,0.0
12116,"we're probably screening.
","['probably', 'screening']",2,0,0,0.0
12117,"Yeah, we are.
",['yeah'],1,0,0,0.0
12118,"Hi, this is Hildy
","['hi', 'hildy']",2,0,0,0.0
12119,"from the Morgan Chase Museum.
","['morgan', 'chase', 'museum']",3,0,0,0.0
12120,"I'm calling for Monica Geller.
","['calling', 'monica', 'geller']",3,0,0,0.0
12121,"There's been a cancellation.
",['cancellation'],1,0,0,0.0
12122,"If she's still interested in having
","['still', 'interested']",2,0,0,0.0
12123,"the Bing-Geller wedding at our facility...
","['bing', 'geller', 'wedding', 'facility']",4,0,0,0.0
12124,"...it is available.
",['available'],1,1,0,1.0
12125,"This is Chandler Bing!
","['chandler', 'bing']",2,0,0,0.0
12126,"Yes, the groom!
","['yes', 'groom']",2,0,0,0.0
12127,"No, not the groom!
",['groom'],1,0,0,0.0
12128,"It's so secluded up here.
",['secluded'],1,0,0,0.0
12129,"I know. That's why I like it here.
","['know', 'like']",2,1,0,0.5
12130,"I feel like we're the only two people
","['feel', 'like', 'two', 'people']",4,1,0,0.25
12131,"in the world.
",['world'],1,0,0,0.0
12132,"Sorry.
",['sorry'],1,0,1,-1.0
12133,"What's the matter, honey?
","['matter', 'honey']",2,0,0,0.0
12134,"-Did you see a little mouse?
","['see', 'little', 'mouse']",3,0,0,0.0
12135,"-No! Big bear! Big bear outside!
","['big', 'bear', 'big', 'bear', 'outside']",5,0,0,0.0
12136,"I think l....
","['think', 'l']",2,0,0,0.0
12137,"Actually, would you go check on that?
","['actually', 'would', 'go', 'check']",4,0,0,0.0
12138,"Honey, we don't have any bears here.
","['honey', 'bear']",2,0,0,0.0
12139,"Well, okay.
","['well', 'okay']",2,1,0,0.5
12140,"Would you get me a Diet Coke?
","['would', 'get', 'diet', 'coke']",4,0,0,0.0
12141,"-Okay. Be right back.
","['okay', 'right', 'back']",3,1,0,0.33
12142,"-Okay.
",['okay'],1,0,0,0.0
12143,"-What are you doing here?
",[],0,0,0,
12144,"-What are you doing here?
",[],0,0,0,
12145,"-I came with Paul!
","['came', 'paul']",2,0,0,0.0
12146,"-Yeah. I recognized the ankles.
","['yeah', 'recognized', 'ankle']",3,0,0,0.0
12147,"Hurry up. Get out.
","['hurry', 'get']",2,0,0,0.0
12148,"Here you go, honey.
","['go', 'honey']",2,0,0,0.0
12149,"-Thank you!
",['thank'],1,1,0,1.0
12150,"-Diet Coke.
","['diet', 'coke']",2,0,0,0.0
12151,"Ice.
",['ice'],1,0,0,0.0
12152,"I need ice.
","['need', 'ice']",2,0,0,0.0
12153,"Okay.
",['okay'],1,0,0,0.0
12154,"-Thank you.
",['thank'],1,1,0,1.0
12155,"-Be right back.
","['right', 'back']",2,1,0,0.5
12156,"Okay.
",['okay'],1,0,0,0.0
12157,"You and your ice.
",['ice'],1,0,0,0.0
12158,"Get out! Get out! Go! Come on!
","['get', 'get', 'go', 'come']",4,0,0,0.0
12159,"No, not in there! Not in there!
",[],0,0,0,
12160,"He's in there!
",[],0,0,0,
12161,"-Did you really hear a bear?
","['really', 'hear', 'bear']",3,0,0,0.0
12162,"-Go!
",['go'],1,0,0,0.0
12163,"Here you go, honey.
","['go', 'honey']",2,0,0,0.0
12164,"One Diet Coke with ice.
","['one', 'diet', 'coke', 'ice']",4,0,0,0.0
12165,"Thank you.
",['thank'],1,1,0,1.0
12166,"I am so happy that you're here.
",['happy'],1,1,0,1.0
12167,"-Here I am!
",[],0,0,0,
12168,"-Elizabeth!
",['elizabeth'],1,0,0,0.0
12169,"Look! Elizabeth's here!
","['look', 'elizabeth']",2,0,0,0.0
12170,"Who were you talking to?
",['talking'],1,0,0,0.0
12171,"You guys?
",['guy'],1,0,0,0.0
12172,"How did you know we were here?
",['know'],1,0,0,0.0
12173,"Well, she obviously saw the tire tracks
","['well', 'obviously', 'saw', 'tire', 'track']",5,1,0,0.2
12174,"that were leading up to the closed garage.
","['leading', 'closed', 'garage']",3,1,0,0.33
12175,"Obviously.
",['obviously'],1,0,0,0.0
12176,"What are you doing here?
",[],0,0,0,
12177,"Did you come up here to work on
","['come', 'work']",2,1,0,0.5
12178,"that term paper or something?
","['term', 'paper', 'something']",3,1,1,0.0
12179,"Yeah.
",['yeah'],1,0,0,0.0
12180,"Well, why don't you go in that room
","['well', 'go', 'room']",3,1,0,0.33
12181,"and do your homework?
",['homework'],1,0,0,0.0
12182,"I wouldn't do it in there.
",[],0,0,0,
12183,"That's my dad's bedroom.
","['dad', 'bedroom']",2,0,0,0.0
12184,"That's your dad's bedroom.
","['dad', 'bedroom']",2,0,0,0.0
12185,"That's your dad's bedroom!
","['dad', 'bedroom']",2,0,0,0.0
12186,"Why are you yelling?
",['yelling'],1,0,0,0.0
12187,"That Diet Coke, I think,
","['diet', 'coke', 'think']",3,0,0,0.0
12188,"went straight to my head!
","['went', 'straight', 'head']",3,0,0,0.0
12189,"Hi, honey.
","['hi', 'honey']",2,0,0,0.0
12190,"See you later.
","['see', 'later']",2,0,0,0.0
12191,"Wait. I bought groceries.
","['wait', 'bought', 'grocery']",3,0,0,0.0
12192,"I was gonna make you dinner.
","['gon', 'na', 'make', 'dinner']",4,0,0,0.0
12193,"Well, next time, ask!
","['well', 'next', 'time', 'ask']",4,1,0,0.25
12194,"Or at least wait for me to ask!
","['least', 'wait', 'ask']",3,0,0,0.0
12195,"Hi, this is Hildy
","['hi', 'hildy']",2,0,0,0.0
12196,"from the Morgan Chase Museum.
","['morgan', 'chase', 'museum']",3,0,0,0.0
12197,"I'm calling for Monica Geller.
","['calling', 'monica', 'geller']",3,0,0,0.0
12198,"Oh, no.
",['oh'],1,0,0,0.0
12199,"There's been a cancellation.
",['cancellation'],1,0,0,0.0
12200,"If she's still interested in having
","['still', 'interested']",2,0,0,0.0
12201,"the Bing-Geller wedding at our facility...
","['bing', 'geller', 'wedding', 'facility']",4,0,0,0.0
12202,"...it is available.
",['available'],1,1,0,1.0
12203,"Please. He didn't hear it!
","['please', 'hear']",2,1,1,0.0
12204,"This is Chandler Bing!
","['chandler', 'bing']",2,0,0,0.0
12205,"No!
",[],0,0,0,
12206,"Can I help you?
",['help'],1,0,0,0.0
12207,"Yeah. Where's the guy who decides
","['yeah', 'guy', 'decides']",3,0,0,0.0
12208,"whose pictures go up on the wall?
","['whose', 'picture', 'go', 'wall']",4,0,0,0.0
12209,"-He's not here right now.
",['right'],1,1,0,1.0
12210,"-You're kidding me!
",['kidding'],1,0,0,0.0
12211,"Well, make sure you tell him that
","['well', 'make', 'sure', 'tell']",4,1,0,0.25
12212,"Joey Tribbiani dropped off these clothes.
","['joey', 'tribbiani', 'dropped', 'clothes']",4,0,0,0.0
12213,"I'm an actor. I'm trying to get
","['actor', 'trying', 'get']",3,0,0,0.0
12214,"my picture up there on the wall.
","['picture', 'wall']",2,0,0,0.0
12215,"You know, there are two people
","['know', 'two', 'people']",3,0,0,0.0
12216,"who could get your picture up there.
","['could', 'get', 'picture']",3,0,0,0.0
12217,"Oh, really?
","['oh', 'really']",2,0,0,0.0
12218,"Well, maybe you and I go out for drinks.
","['well', 'maybe', 'go', 'drink']",4,1,0,0.25
12219,"You're the other one, right?
","['one', 'right']",2,1,0,0.5
12220,"So, are you planning on staying the night?
","['planning', 'staying', 'night']",3,0,0,0.0
12221,"No, no. Believe me,
",['believe'],1,0,0,0.0
12222,"I'm leaving as soon as possible.
","['leaving', 'soon', 'possible']",3,0,0,0.0
12223,"Good. Not that we don't want you to stay.
","['good', 'want', 'stay']",3,1,0,0.33
12224,"Obviously, you're welcome.
","['obviously', 'welcome']",2,1,0,0.5
12225,"How much more homework do you have?
","['much', 'homework']",2,0,0,0.0
12226,"I just have one problem left
","['one', 'problem', 'left']",3,0,1,-0.33
12227,"that I do not know how to solve.
","['know', 'solve']",2,0,0,0.0
12228,"Rachel, maybe you want to come upstairs
","['rachel', 'maybe', 'want', 'come', 'upstairs']",5,0,0,0.0
12229,"and help me figure it out?
","['help', 'figure']",2,0,0,0.0
12230,"Really?
",['really'],1,0,0,0.0
12231,"Okay.
",['okay'],1,0,0,0.0
12232,"Okay, I'll go upstairs...
","['okay', 'go', 'upstairs']",3,0,0,0.0
12233,"...if you get me something from the car.
","['get', 'something', 'car']",3,0,0,0.0
12234,"What do you need from the car?
","['need', 'car']",2,0,0,0.0
12235,"Surprise me.
",['surprise'],1,0,0,0.0
12236,"Okay.
",['okay'],1,0,0,0.0
12237,"So you're gonna be in the car!
","['gon', 'na', 'car']",3,0,0,0.0
12238,"I will be upstairs!
",['upstairs'],1,0,0,0.0
12239,"And that's where everybody's gonna be!
","['everybody', 'gon', 'na']",3,0,0,0.0
12240,"Just relax. Just relax, Paul.
","['relax', 'relax', 'paul']",3,0,0,0.0
12241,"You're doing great.
",['great'],1,1,0,1.0
12242,"She likes you.
",['like'],1,1,0,1.0
12243,"I think she likes you. She likes you.
","['think', 'like', 'like']",3,2,0,0.67
12244,"You know why?
",['know'],1,0,0,0.0
12245,"Because you're a neat guy.
","['neat', 'guy']",2,1,0,0.5
12246,"You are the man.
",['man'],1,0,0,0.0
12247,"You are the man!
",['man'],1,0,0,0.0
12248,"Still got it.
","['still', 'got']",2,0,0,0.0
12249,"Still sexy.
","['still', 'sexy']",2,1,0,0.5
12250,"You're just a love machine.
","['love', 'machine']",2,1,0,0.5
12251,"""I'm just a love machine
","['love', 'machine']",2,1,0,0.5
12252,"""So proud of what you have, baby! ""
","['proud', 'baby']",2,1,0,0.5
12253,"Showtime.
",['showtime'],1,0,0,0.0
12254,"""I'm just a love machine
","['love', 'machine']",2,1,0,0.5
12255,"Hey, baby! ""
","['hey', 'baby']",2,0,0,0.0
12256,"-Phoebe?
",['phoebe'],1,0,0,0.0
12257,"-Yeah?
",['yeah'],1,0,0,0.0
12258,"-Have you seen Chandler?
","['seen', 'chandler']",2,0,0,0.0
12259,"-No, why?
",[],0,0,0,
12260,"The museum called and said
","['museum', 'called', 'said']",3,0,0,0.0
12261,"that there was a cancellation...
",['cancellation'],1,0,0,0.0
12262,"...and that we could move up our wedding.
","['could', 'move', 'wedding']",3,0,0,0.0
12263,"And Chandler heard.
","['chandler', 'heard']",2,0,0,0.0
12264,"I know. How bad is this?
","['know', 'bad']",2,0,1,-0.5
12265,"Well, with a regular guy it's bad.
","['well', 'regular', 'guy', 'bad']",4,1,1,0.0
12266,"With Chandler, oh, dear God!
","['chandler', 'oh', 'dear', 'god']",4,0,0,0.0
12267,"I know! He totally freaked out
","['know', 'totally', 'freaked']",3,0,0,0.0
12268,"and I can't find him anywhere!
","['find', 'anywhere']",2,0,0,0.0
12269,"-What are you gonna do?
","['gon', 'na']",2,0,0,0.0
12270,"-I'm never listening to you again, for sure.
","['never', 'listening', 'sure']",3,0,0,0.0
12271,"""What harm can it do
",['harm'],1,0,1,-1.0
12272,"to put your name down?""
","['put', 'name']",2,0,0,0.0
12273,"-Rachel said that.
","['rachel', 'said']",2,0,0,0.0
12274,"-Well, Rachel's not here!
","['well', 'rachel']",2,1,0,0.5
12275,"Here it is!
",[],0,0,0,
12276,"Joey, why did you sign it, ""son of a bitch""?
","['joey', 'sign', 'son', 'bitch']",4,0,1,-0.25
12277,"-I didn't do that. Who would've done that?
","['would', 'done']",2,0,0,0.0
12278,"-Son of a bitch!
","['son', 'bitch']",2,0,1,-0.5
12279,"Okay. Maybe ask this guy.
","['okay', 'maybe', 'ask', 'guy']",4,0,0,0.0
12280,"You! Get out of my shop!
","['get', 'shop']",2,0,0,0.0
12281,"-What did he do?
",[],0,0,0,
12282,"-He went out with my wife!
","['went', 'wife']",2,0,0,0.0
12283,"Joey!
",['joey'],1,0,0,0.0
12284,"I did not go out with your wife! Okay?
","['go', 'wife', 'okay']",3,0,0,0.0
12285,"I went out with her.
",['went'],1,0,0,0.0
12286,"That's my wife!
",['wife'],1,0,0,0.0
12287,"Get out!
",['get'],1,0,0,0.0
12288,"-Well, we should go.
","['well', 'go']",2,1,0,0.5
12289,"-Yeah.
",['yeah'],1,0,0,0.0
12290,"Ross?
",['ross'],1,0,0,0.0
12291,"Elizabeth!
",['elizabeth'],1,0,0,0.0
12292,"Okay. I'm gonna go out this window.
","['okay', 'gon', 'na', 'go', 'window']",5,0,0,0.0
12293,"I'll meet you at the front door.
","['meet', 'front', 'door']",3,0,0,0.0
12294,"Just tell them you're going home, okay?
","['tell', 'going', 'home', 'okay']",4,0,0,0.0
12295,"-Okay.
",['okay'],1,0,0,0.0
12296,"-Wait, wait! No, don't go in there!
","['wait', 'wait', 'go']",3,0,0,0.0
12297,"Don't go in there! I need another soda!
","['go', 'need', 'another', 'soda']",4,0,0,0.0
12298,"Ross!
",['ross'],1,0,0,0.0
12299,"Oh, my God! What in heaven's name
","['oh', 'god', 'heaven', 'name']",4,1,0,0.25
12300,"are you doing here?
",[],0,0,0,
12301,"And that is why
",[],0,0,0,
12302,"we cannot see each other anymore.
","['see', 'anymore']",2,0,0,0.0
12303,"Ross, you and I are gonna have
","['ross', 'gon', 'na']",3,0,0,0.0
12304,"to have a little talk.
","['little', 'talk']",2,0,0,0.0
12305,"-Daddy, l--
","['daddy', 'l']",2,0,0,0.0
12306,"-You're next!
",['next'],1,0,0,0.0
12307,"Okay. I didn't know he was here.
","['okay', 'know']",2,0,0,0.0
12308,"Let's see if I got this straight.
","['let', 'see', 'got', 'straight']",4,0,0,0.0
12309,"I tell you to stay away
","['tell', 'stay', 'away']",3,0,0,0.0
12310,"from my daughter or I'll have you fired.
","['daughter', 'fired']",2,0,0,0.0
12311,"What you heard was: ""Take my daughter...
","['heard', 'take', 'daughter']",3,0,0,0.0
12312,"""...come up to my country house
","['come', 'country', 'house']",3,0,0,0.0
12313,"and ruin my weekend with Rachel.""
","['ruin', 'weekend', 'rachel']",3,0,1,-0.33
12314,"-Okay. Please, Paul. Just let me explain.
","['okay', 'please', 'paul', 'let', 'explain']",5,1,1,0.0
12315,"-No! Let me explain! Fired!
","['let', 'explain', 'fired']",3,0,0,0.0
12316,"Okay, fine. Fine. Have me fired.
","['okay', 'fine', 'fine', 'fired']",4,2,0,0.5
12317,"But, I want you to know...
","['want', 'know']",2,0,0,0.0
12318,"...that you and I are not all that different.
",['different'],1,0,0,0.0
12319,"I mean...
",['mean'],1,1,1,0.0
12320,"...l, too, am a ""neat guy.""
","['l', 'neat', 'guy']",3,1,0,0.33
12321,"What?
",[],0,0,0,
12322,"And l, too...
",['l'],1,0,0,0.0
12323,"...am ""just a love machine.""
","['love', 'machine']",2,1,0,0.5
12324,"-Let me show you where the guest room is.
","['let', 'show', 'guest', 'room']",4,0,0,0.0
12325,"-Okay.
",['okay'],1,0,0,0.0
12326,"I'm so sorry. Please stop freaking out.
","['sorry', 'please', 'stop', 'freaking']",4,1,3,-0.5
12327,"I'm not freaking out.
",['freaking'],1,0,1,-1.0
12328,"Why would I freak out?
","['would', 'freak']",2,0,1,-0.5
12329,"Hildy called and said
","['hildy', 'called', 'said']",3,0,0,0.0
12330,"we were getting married.
","['getting', 'married']",2,0,0,0.0
12331,"But that happens every day.
","['happens', 'every', 'day']",3,0,0,0.0
12332,"Honey, we were at this beautiful place.
","['honey', 'beautiful', 'place']",3,1,0,0.33
